Date,Fund,Type,Open,Close,Dividend
6/1/2016,Vanguard Dividend Appreciation Index Fund (VIG),Income,81.5,83.239998,
7/1/2016,Vanguard Dividend Appreciation Index Fund (VIG),Income,83.279999,85.150002,0.446
8/1/2016,Vanguard Dividend Appreciation Index Fund (VIG),Income,85.120003,85.160004,
9/1/2016,Vanguard Dividend Appreciation Index Fund (VIG),Income,85.099998,83.93,0.393
10/1/2016,Vanguard Dividend Appreciation Index Fund (VIG),Income,83.739998,82.309998,
11/1/2016,Vanguard Dividend Appreciation Index Fund (VIG),Income,82.470001,84.760002,
12/1/2016,Vanguard Dividend Appreciation Index Fund (VIG),Income,84.900002,85.18,
1/1/2017,Vanguard Dividend Appreciation Index Fund (VIG),Income,85.550003,86.68,0.577
2/1/2017,Vanguard Dividend Appreciation Index Fund (VIG),Income,86.470001,90.43,
3/1/2017,Vanguard Dividend Appreciation Index Fund (VIG),Income,91.029999,89.940002,
4/1/2017,Vanguard Dividend Appreciation Index Fund (VIG),Income,90,91.489998,0.425
5/1/2017,Vanguard Dividend Appreciation Index Fund (VIG),Income,91.620003,92.93,
6/1/2017,Vanguard Dividend Appreciation Index Fund (VIG),Income,93.139999,92.669998,
7/1/2017,Vanguard Dividend Appreciation Index Fund (VIG),Income,92.989998,93.349998,0.518
8/1/2017,Vanguard Dividend Appreciation Index Fund (VIG),Income,93.589996,93.010002,
9/1/2017,Vanguard Dividend Appreciation Index Fund (VIG),Income,93.379997,94.790001,
10/1/2017,Vanguard Dividend Appreciation Index Fund (VIG),Income,94.889999,96.779999,0.43
11/1/2017,Vanguard Dividend Appreciation Index Fund (VIG),Income,96.970001,101.120003,
12/1/2017,Vanguard Dividend Appreciation Index Fund (VIG),Income,100.970001,102.029999,
1/1/2018,Vanguard Dividend Appreciation Index Fund (VIG),Income,102.360001,107.150002,0.546
2/1/2018,Vanguard Dividend Appreciation Index Fund (VIG),Income,106.699997,102.830002,
3/1/2018,Vanguard Dividend Appreciation Index Fund (VIG),Income,102.870003,101.050003,
4/1/2018,Vanguard Dividend Appreciation Index Fund (VIG),Income,100.809998,100.110001,0.566
5/1/2018,Vanguard Dividend Appreciation Index Fund (VIG),Income,99.760002,101.879997,
6/1/2018,Vanguard Dividend Appreciation Index Fund (VIG),Income,102.400002,101.620003,
7/1/2018,Vanguard Dividend Appreciation Index Fund (VIG),Income,101,106.379997,
8/1/2018,Vanguard Dividend Appreciation Index Fund (VIG),Income,106.150002,109.360001,
9/1/2018,Vanguard Dividend Appreciation Index Fund (VIG),Income,109.059998,110.699997,
10/1/2018,Vanguard Dividend Appreciation Index Fund (VIG),Income,111.190002,103.660004,0.498
11/1/2018,Vanguard Dividend Appreciation Index Fund (VIG),Income,103.870003,107.949997,
12/1/2018,Vanguard Dividend Appreciation Index Fund (VIG),Income,109.400002,97.949997,
1/1/2019,Vanguard Dividend Appreciation Index Fund (VIG),Income,96.519997,104.139999,0.51
2/1/2019,Vanguard Dividend Appreciation Index Fund (VIG),Income,104.239998,108.910004,
3/1/2019,Vanguard Dividend Appreciation Index Fund (VIG),Income,109.559998,109.639999,
4/1/2019,Vanguard Dividend Appreciation Index Fund (VIG),Income,110.330002,113.720001,
5/1/2019,Vanguard Dividend Appreciation Index Fund (VIG),Income,113.760002,108.449997,
6/1/2019,Vanguard Dividend Appreciation Index Fund (VIG),Income,108.529999,115.160004,
7/1/2019,Vanguard Dividend Appreciation Index Fund (VIG),Income,116.389999,117.730003,0.473
8/1/2019,Vanguard Dividend Appreciation Index Fund (VIG),Income,117.830002,118.419998,
9/1/2019,Vanguard Dividend Appreciation Index Fund (VIG),Income,117.800003,119.580002,
10/1/2019,Vanguard Dividend Appreciation Index Fund (VIG),Income,119.82,119.610001,0.552
11/1/2019,Vanguard Dividend Appreciation Index Fund (VIG),Income,120.220001,122.540001,
12/1/2019,Vanguard Dividend Appreciation Index Fund (VIG),Income,122.639999,124.660004,
1/1/2020,Vanguard Dividend Appreciation Index Fund (VIG),Income,125.139999,125.370003,0.599
2/1/2020,Vanguard Dividend Appreciation Index Fund (VIG),Income,125.900002,114.910004,
3/1/2020,Vanguard Dividend Appreciation Index Fund (VIG),Income,115.589996,103.389999,
4/1/2020,Vanguard Dividend Appreciation Index Fund (VIG),Income,99.470001,113.599998,0.474
5/1/2020,Vanguard Dividend Appreciation Index Fund (VIG),Income,112.059998,117.690002,
6/1/2020,Vanguard Dividend Appreciation Index Fund (VIG),Income,117.5,117.18,
7/1/2020,Vanguard Dividend Appreciation Index Fund (VIG),Income,117.309998,123.010002,0.601
8/1/2020,Vanguard Dividend Appreciation Index Fund (VIG),Income,123.459999,130.589996,
9/1/2020,Vanguard Dividend Appreciation Index Fund (VIG),Income,130.589996,128.660004,
10/1/2020,Vanguard Dividend Appreciation Index Fund (VIG),Income,129.539993,125.739998,0.558
11/1/2020,Vanguard Dividend Appreciation Index Fund (VIG),Income,127.440002,138.360001,
12/1/2020,Vanguard Dividend Appreciation Index Fund (VIG),Income,139.679993,141.169998,
1/1/2021,Vanguard Dividend Appreciation Index Fund (VIG),Income,141.610001,137.050003,0.664
2/1/2021,Vanguard Dividend Appreciation Index Fund (VIG),Income,138.300003,139.210007,
3/1/2021,Vanguard Dividend Appreciation Index Fund (VIG),Income,140.740005,147.080002,
4/1/2021,Vanguard Dividend Appreciation Index Fund (VIG),Income,147.479996,153.009995,0.513
5/1/2021,Vanguard Dividend Appreciation Index Fund (VIG),Income,153.759995,154.5,
6/1/2016,Schuab U.S. Divided Equity (SCHD),Income,40.470001,41.439999,
7/1/2016,Schuab U.S. Divided Equity (SCHD),Income,41.419998,42.619999,0.317
8/1/2016,Schuab U.S. Divided Equity (SCHD),Income,42.630001,42.48,
9/1/2016,Schuab U.S. Divided Equity (SCHD),Income,42.450001,42.310001,
10/1/2016,Schuab U.S. Divided Equity (SCHD),Income,42.25,41.650002,0.244
11/1/2016,Schuab U.S. Divided Equity (SCHD),Income,41.68,43.009998,
12/1/2016,Schuab U.S. Divided Equity (SCHD),Income,43.080002,43.57,
1/1/2017,Schuab U.S. Divided Equity (SCHD),Income,43.799999,43.360001,0.399
2/1/2017,Schuab U.S. Divided Equity (SCHD),Income,43.369999,44.84,
